poi_id,poi_type,poi_name,latitude,longitude,radius_meters
119,Pharmacy,Apteka Rigla; ulitsa Aksakova 125 [Kaliningrad],54.7115165,20.57924,1000
120,Pharmacy,Apteka Planeta Zdorovya; ulitsa Aksakova 129 [Kaliningrad],54.7115766,20.58093,1000
121,Pharmacy,Zdravsiti; ulitsa Aksakova 133 [Kaliningrad],54.7119413,20.58276,1000
122,Pharmacy,Apteka Rigla; Kaliningradskaya ulitsa 5 [Chernyakhovskiy rayon],54.6358981,21.80611,500
123,Pharmacy,Apteka Bud Zdorov; ulitsa Kaliningradskaya 2 [Chernyakhovskiy rayon],54.6371483,21.80793,500
124,Pharmacy,Apteka Linia Zhisniy; ulitsa Chernyakhovskogo 34 [Nesterovskiy rayon],54.629358,22.5736,500
125,Cafe,McDonald's 37 Tallinna mnt [EST-Narva],59.3802799,28.17738,500
126,Cafe,McDonald's [RUS-Al'met'evsk],54.9042772,52.30537,500
127,Cafe,McDonald's [RUS-Altuf'evo],55.8982482,37.5884,500
128,Cafe,McDonald's [RUS-Annino],55.58388,37.59922,500
129,Cafe,McDonald's [RUS-Arbat],55.7474301,37.58448,500
130,Cafe,McDonald's [RUS-Balashikha],55.7936781,37.93635,500
131,Cafe,McDonald's [RUS-Belaya Dacha],55.6545794,37.84417,500
132,Cafe,McDonald's [RUS-Belyaevo],55.6410422,37.53035,500
133,Cafe,McDonald's [RUS-Borovskoye],55.6384098,37.3516,500
134,Cafe,McDonald's [RUS-Bratislavskaya],55.6601971,37.75127,500
135,Cafe,McDonald's [RUS-Budenovskiy],47.2198249,39.70781,500
136,Cafe,McDonald's [RUS-Butovo],55.5664066,37.57305,500
137,Cafe,McDonald's [RUS-Butyrskaya],55.8043167,37.58197,500
138,Cafe,McDonald's [RUS-Chasovaya],55.8084443,37.52803,500
139,Cafe,McDonald's [RUS-Cheboksary],56.14397,47.24678,500
140,Cafe,McDonald's [RUS-Cherkizovo],55.8027735,37.75557,500
141,Cafe,McDonald's [Санкт-Петербург],59.9872199,30.30289,500
142,Cafe,McDonald's [RUS-Chertanovo],55.6331208,37.62392,500
143,Cafe,McDonald's [RUS-Dmitrov],56.348767,37.52008,500
144,Cafe,McDonald's [RUS-Dmitrovskoye],55.8641347,37.54826,500
145,Cafe,McDonald's [RUS-Dobryninskaya],55.7290231,37.62373,500
146,Cafe,McDonald's [RUS-Domodedovskaya],55.612215,37.71795,500
147,Cafe,McDonald's [RUS-Dorogomilovskaya],55.7458743,37.56614,500
148,Cafe,McDonald's [RUS-Elektrostal'],55.7696734,38.43443,500
149,Cafe,McDonald's [RUS-Elektrozavodskaya],55.7819679,37.70656,500
150,Cafe,проспект Энгельса 116 [Санкт-Петербург],60.035251,30.32108,500
151,Cafe,McDonald's [RUS-Entuziastov],55.7757704,37.83576,500
152,Cafe,McDonald's [RUS-Frunzenskaya],55.7273253,37.58037,500
153,Cafe,McDonald's [RUS-Gazetnyy],55.7589333,37.61088,500
154,Cafe,McDonald's [RUS-Gipertsentr],55.865602,37.7047,500
155,Cafe,McDonald's [RUS-Gol'yanovo],55.8224462,37.8233,500
156,Cafe,McDonald's [RUS-Grazhdanskiy],60.0110803,30.39719,500
157,Cafe,McDonald's [RUS-Kaluzhskaya],55.6567001,37.5425899,500
158,Cafe,McDonald's [Санкт-Петербург],59.9668703,30.31121,500
159,Cafe,McDonald's [RUS-Kashirskoye],55.6213272,37.71397,500
160,Cafe,McDonald's [RUS-Katukova],55.8070975,37.4090599,500
161,Cafe,McDonald's [RUS-Kazan'],55.8254536,49.13456,500
162,Cafe,McDonald's [RUS-Khimki],55.9049518,37.41631,500
163,Cafe,McDonald's [RUS-Klin],56.3322307,36.72849,500
164,Cafe,McDonald's [RUS-Kolomenskaya],55.6675773,37.65846,500
165,Cafe,McDonald's [RUS-Kolomna],55.0965299,38.76317,500
166,Cafe,McDonald's Коломяжский проспект 19/2 [Санкт-Петербург],60.0082652,30.29779,500
167,Cafe,McDonald's [RUS-Komendatskiy],60.0064529,30.26118,500
168,Cafe,McDonald's [RUS-Kosmonavtov],59.851678,30.35088,500
169,Cafe,McDonald's [RUS-Kosmonavtov],47.2845982,39.71702,500
170,Cafe,McDonald's [RUS-Krasnaya Presnya],55.76259,37.56351,500
171,Cafe,McDonald's [RUS-Krasnoarmeyskaya],59.9164256,30.30861,500
172,Cafe,McDonald's [RUS-Krasnodar],45.1004666,38.98369,500
173,Cafe,McDonald's [RUS-Krasnogorsk],55.8293293,37.30608,500
174,Cafe,McDonald's [RUS-Kuz'minki],55.7061149,37.76699,500
175,Cafe,McDonald's [RUS-Ladozhskaya],55.7714759,37.68117,500
176,Cafe,McDonald's [RUS-Leningradskoye],55.8656037,37.46201,500
177,Cafe,McDonald's [RUS-Leninskiy],55.6622988,37.50859,500
178,Cafe,McDonald's [RUS-Lesnoy Gorodok],55.6325013,37.21183,500
179,Cafe,McDonald's [RUS-Lianozovo],55.9017136,37.54833,500
180,Cafe,McDonald's [RUS-Lyubertsy],55.6810315,37.88806,500
181,Cafe,McDonald's [RUS-Manezh],55.7556794,37.61518,500
182,Cafe,McDonald's [RUS-Mar'ino],55.6497845,37.7446399,500
183,Cafe,McDonald's [RUS-Marata],59.9193372,30.3395,500
184,Cafe,McDonald's [RUS-Maroseyka],55.7577981,37.63494,500
185,Cafe,McDonald's [RUS-Matveevskaya],55.7038237,37.45893,500
186,Cafe,McDonald's [RUS-Medvedkovo],55.8879214,37.66264,500
187,Cafe,McDonald's [RUS-Mega],55.604444,37.49221,500
188,Cafe,McDonald's [RUS-Mega],55.9108661,37.39616,500
189,Cafe,McDonald's [RUS-Milashenkova],55.8229686,37.58854,500
190,Cafe,McDonald's [RUS-Mitino],55.8476934,37.36106,500
191,Cafe,McDonald's [RUS-MKAD 24km],55.5862825,37.7194999,500
192,Cafe,McDonald's [RUS-MKAD 48km],55.659136,37.42989,500
